schoolname,latitude,longitude,address,city,zip,percentasian,percentblack,percenthispanic,percentblackhispanic,percentwhite
P.S. 184 FLUSHING MANOR,40.778164,-73.799841,"163-15 21ST RD WHITESTONE, NY 11357",WHITESTONE,11357,37%,0%,15%,15%,46%
J.H.S. 189 DANIEL CARTER BEARD,40.760344,-73.817909,"144-80 BARCLAY AVE FLUSHING, NY 11355",FLUSHING,11355,69%,3%,25%,28%,3%
P.S. 094 DAVID D. PORTER,40.771304,-73.738765,"41-77 LITTLE NECK PKWY LITTLE NECK, NY 11363",LITTLE NECK,11363,45%,5%,22%,27%,25%
M.S. 158 MARIE CURIE,40.756375,-73.77232,"46-35 OCEANIA ST BAYSIDE, NY 11361",BAYSIDE,11361,61%,5%,14%,19%,20%
P.S. 159,40.770092,-73.783977,"205-01 33RD AVE BAYSIDE, NY 11361",BAYSIDE,11361,52%,2%,18%,20%,27%
P.S. 173 FRESH MEADOWS,40.734087,-73.795283,"174-10 67TH AVE FLUSHING, NY 11365",FLUSHING,11365,58%,1%,11%,13%,27%
P.S. 213 THE CARL ULLMAN SCHOOL,40.747524,-73.745381,"231-02 67TH AVE BAYSIDE, NY 11361",BAYSIDE,11361,68%,6%,13%,19%,11%
J.H.S. 216 GEORGE J. RYAN,40.73726,-73.794463,"64-20 175TH ST FLUSHING, NY 11365",FLUSHING,11365,68%,6%,11%,17%,14%
P.S./I.S. 266,40.746011,-73.728385,"74-10 COMMONWEALTH BLVD BELLEROSE, NY 11426",BELLEROSE,11426,43%,14%,24%,38%,17%
SCHOLARS' ACADEMY,40.58445,-73.82517,"320 BEACH 104TH ST ROCKAWAY PARK, NY 11694",ROCKAWAY PARK,11694,21%,19%,18%,37%,41%
P.S. 196 GRAND CENTRAL PARKWAY,40.722976,-73.837726,"71-25 113TH ST FOREST HILLS, NY 11375",FOREST HILLS,11375,38%,2%,13%,15%,40%
P.S. 152 GWENDOLINE N. ALLEYNE SCHOOL,40.753093,-73.90053,"33-52 62ND ST WOODSIDE, NY 11377",WOODSIDE,11377,50%,1%,44%,45%,4%
P.S. 005 HUGUENOT,40.529697,-74.187532,"348 DEISIUS ST STATEN ISLAND, NY 10312",STATEN ISLAND,10312,1%,0%,7%,7%,91%
KINGS COLLEGIATE CHARTER SCHOOL,40.677469,-73.942071,"1485 PACIFIC ST-FL 2 BROOKLYN, NY 11212",BROOKLYN,11212,0%,97%,2%,99%,0%
BUSHWICK ASCEND CHARTER SCHOOL,40.693686,-73.90903,"751 KNICKERBOCKER AVE BROOKLYN, NY 11221",BROOKLYN,11221,1%,25%,72%,97%,1%
NEIGHBORHOOD CHARTER SCHOOL OF HARLEM,40.80758,-73.947377,"132 W 124TH ST NEW YORK, NY 10027",NEW YORK,10027,1%,55%,40%,95%,3%
ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,40.814949,-73.945808,"222 W 134TH ST-RM 111 NEW YORK, NY 10030",NEW YORK,10030,1%,66%,29%,95%,1%
METROPOLITAN LIGHTHOUSE CHARTER SCHOOL,40.834312,-73.930213,"180 W 165TH ST BRONX, NY 10452",BRONX,10452,0%,40%,57%,97%,1%
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,40.667,-73.951014,"1186 CARROLL ST BROOKLYN, NY 11225",BROOKLYN,11225,3%,88%,5%,93%,1%
P.S. 69 VINCENT D. GRIPPO SCHOOL,40.63239,-74.009637,"6302 9TH AVE BROOKLYN, NY 11220",BROOKLYN,11220,90%,0%,5%,5%,4%
"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",40.715009,-73.886225,"69-10 65TH DR MIDDLE VILLAGE, NY 11379",MIDDLE VILLAGE,11379,3%,1%,20%,21%,76%
PIONEER ACADEMY,40.749323,-73.865657,"40-20 100TH ST CORONA, NY 11368",CORONA,11368,3%,1%,94%,96%,1%
"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",40.742708,-73.936328,"47-07 30TH PL LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101,22%,5%,61%,65%,12%
P.S. 209 CLEARVIEW GARDENS,40.783714,-73.795027,"16-10 UTOPIA PKWY WHITESTONE, NY 11357",WHITESTONE,11357,41%,1%,17%,17%,39%
THE ACTIVE LEARNING ELEMENTARY SCHOOL,40.754465,-73.826204,"137-20 FRANKLIN AVE FLUSHING, NY 11367",FLUSHING,11367,86%,2%,8%,10%,3%
J.H.S. 067 LOUIS PASTEUR,40.762437,-73.734426,"51-60 MARATHON PKWY LITTLE NECK, NY 11362",LITTLE NECK,11362,62%,3%,12%,14%,23%
J.H.S. 074 NATHANIEL HAWTHORNE,40.758543,-73.77397,"61-15 OCEANIA ST BAYSIDE, NY 11361",BAYSIDE,11361,66%,5%,10%,15%,18%
P.S. 098 THE DOUGLASTON SCHOOL,40.76913,-73.749839,"40-20 235TH ST DOUGLASTON, NY 11363",DOUGLASTON,11363,28%,5%,15%,20%,46%
P.S. 162 JOHN GOLDEN,40.748394,-73.776565,"201-02 53RD AVE BAYSIDE, NY 11361",BAYSIDE,11361,70%,2%,11%,13%,15%
P.S. 191 MAYFLOWER,40.734222,-73.70892,"85-15 258TH ST FLORAL PARK, NY 11001",FLORAL PARK,11001,71%,4%,11%,16%,11%
P.S. 205 ALEXANDER GRAHAM BELL,40.764001,-73.771162,"75-25 BELL BLVD BAYSIDE, NY 11361",BAYSIDE,11361,39%,2%,22%,23%,34%
THE 30TH AVENUE SCHOOL (G&T CITYWIDE),40.768259,-73.922754,"28-37 29TH ST ASTORIA, NY 11102",ASTORIA,11102,45%,6%,9%,14%,31%
WILLIAMSBURG COLLEGIATE CHARTER SCHOOL,40.705915,-73.962068,"157 WILSON ST-4TH FL BROOKLYN, NY 11211",BROOKLYN,11211,0%,35%,63%,98%,2%
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,40.674493,-73.913246,"2021 BERGEN ST-RM 149 BROOKLYN, NY 11233",BROOKLYN,11233,0%,88%,11%,99%,0%
BROOKLYN ASCEND CHARTER SCHOOL,40.662056,-73.920703,"205 ROCKAWAY PKWY-2ND FL BROOKLYN, NY 11212",BROOKLYN,11212,1%,95%,3%,98%,0%
BROOKLYN EAST COLLEGIATE CHARTER SCHOOL,40.678584,-73.96634,"80 UNDERHILL AVE BROOKLYN, NY 11238",BROOKLYN,11238,1%,82%,9%,90%,1%
THE EQUITY PROJECT CHARTER SCHOOL (TEP),40.863962,-73.933043,"549 AUDUBON AVE-TRAILER 30 NEW YORK, NY 10040",NEW YORK,10040,0%,6%,92%,98%,1%
CENTRAL QUEENS ACADEMY CHARTER SCHOOL,40.737333,-73.866404,"55-30 JUNCTION BLVD ELMHURST, NY 11373",ELMHURST,11373,19%,10%,67%,77%,3%
BRONX CHARTER SCHOOL FOR EXCELLENCE,40.834056,-73.858543,"1960 BENEDICT AVE BRONX, NY 10462",BRONX,10462,21%,44%,34%,78%,0%
BRONX CHARTER SCHOOL FOR CHILDREN,40.812627,-73.919908,"388 WILLIS AVE BRONX, NY 10454",BRONX,10454,0%,23%,74%,97%,1%
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",40.7195,-73.979239,"111 COLUMBIA ST NEW YORK, NY 10002",NEW YORK,10002,33%,9%,11%,20%,42%
HARBOR HEIGHTS,40.84562,-73.939738,"306 FORT WASHINGTON AVE-RM  414 NEW YORK, NY 10033",NEW YORK,10033,0%,0%,100%,100%,0%
M.S. 51 WILLIAM ALEXANDER,40.67218,-73.984625,"350 5TH AVE BROOKLYN, NY 11215",BROOKLYN,11215,12%,10%,19%,29%,57%
P.S. 107 JOHN W. KIMBALL,40.663015,-73.981125,"1301 8TH AVE BROOKLYN, NY 11215",BROOKLYN,11215,7%,4%,10%,14%,77%
P.S. 321 WILLIAM PENN,40.671669,-73.97834,"180 7TH AVE BROOKLYN, NY 11215",BROOKLYN,11215,7%,4%,8%,12%,75%
THE SCHOOL FOR FUTURE LEADERS,40.632148,-74.00754,"942 62ND ST BROOKLYN, NY 11219",BROOKLYN,11219,85%,1%,8%,8%,6%
THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),40.737207,-73.887005,"76-05 51ST AVE ELMHURST, NY 11373",ELMHURST,11373,60%,1%,38%,39%,2%
"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",40.738332,-73.82028,"148-20 REEVES AVE FLUSHING, NY 11367",FLUSHING,11367,53%,22%,12%,35%,10%
P.S. 188 KINGSBURY,40.735064,-73.751895,"218-12 HARTLAND AVE FLUSHING, NY 11364",FLUSHING,11364,58%,2%,7%,9%,30%
P.S. 203 OAKLAND GARDENS,40.753563,-73.759991,"53-11 SPRNGFLD BLVD BAYSIDE, NY 11361",BAYSIDE,11361,72%,2%,9%,11%,15%
PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,40.668105,-73.757899,"143-10 SPRINGFIELD BLVD SPRINGFIELD GARDENS, NY 11413",SPRINGFIELD GARDENS,11413,4%,85%,6%,91%,2%
RIVERTON STREET CHARTER SCHOOL,40.689348,-73.763541,"118-34 RIVERTON ST SAINT ALBANS, NY 11412",SAINT ALBANS,11412,0%,92%,7%,98%,0%
RENAISSANCE CHARTER SCHOOL,40.749951,-73.885164,"35-59 81ST ST JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372,18%,8%,58%,67%,14%
SOUTH BRONX CLASSICAL CHARTER SCHOOL,40.822084,-73.894038,"977 FOX ST BRONX, NY 10459",BRONX,10459,1%,40%,57%,97%,1%
P.S. 184M SHUANG WEN,40.711437,-73.985486,"327 CHERRY ST-2ND FL NEW YORK, NY 10002",NEW YORK,10002,71%,4%,12%,15%,9%
P.S. 041 GREENWICH VILLAGE,40.735526,-73.999113,"116 W 11TH ST NEW YORK, NY 10011",NEW YORK,10011,9%,2%,10%,11%,69%
P.S. 042 BENJAMIN ALTMAN,40.716136,-73.990841,"71 HESTER ST NEW YORK, NY 10002",NEW YORK,10002,93%,0%,4%,4%,2%
EAST SIDE MIDDLE SCHOOL,40.780646,-73.947544,"331 E 91ST ST NEW YORK, NY 10028",NEW YORK,10028,15%,3%,9%,12%,66%
P.S. 124 YUNG WING,40.714426,-73.995526,"40 DIVISION ST NEW YORK, NY 10002",NEW YORK,10002,95%,0%,3%,3%,1%
P.S. 130 HERNANDO DE SOTO,40.718819,-73.998263,"143 BAXTER ST NEW YORK, NY 10013",NEW YORK,10013,88%,1%,5%,6%,3%
M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,40.736114,-73.992352,"10 E 15TH ST NEW YORK, NY 10003",NEW YORK,10003,14%,6%,10%,16%,65%
I.S. 289,40.716867,-74.013623,"201 WARREN ST NEW YORK, NY 10282",NEW YORK,10282,38%,8%,13%,21%,38%
NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,40.742571,-74.002371,"333 W 17TH ST NEW YORK, NY 10011",NEW YORK,10011,47%,2%,7%,10%,34%
JONAS BRONCK ACADEMY,40.861305,-73.891283,"400 E FORDHAM RD BRONX, NY 10458",BRONX,10458,5%,18%,72%,91%,2%
P.S. 105 THE BLYTHEBOURNE,40.633244,-74.003507,"1031 59TH ST BROOKLYN, NY 11219",BROOKLYN,11219,92%,0%,4%,5%,3%
THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,40.627847,-74.004003,"1171 65TH ST BROOKLYN, NY 11219",BROOKLYN,11219,69%,1%,6%,7%,24%
EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,40.749539,-73.821454,"46-21 COLDEN ST FLUSHING, NY 11355",FLUSHING,11355,67%,10%,18%,28%,4%
THE ACADEMY FOR EXCELLENCE THROUGH THE ARTS,40.725755,-73.844042,"108-55 69TH ST FOREST HILLS, NY 11375",FOREST HILLS,11375,37%,4%,20%,23%,37%
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,40.663784,-73.893259,"557 PENNSYLVANIA AVE BROOKLYN, NY 11207",BROOKLYN,11207,0%,82%,16%,98%,0%
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,40.676982,-73.883838,"350 LINWOOD ST BROOKLYN, NY 11208",BROOKLYN,11208,4%,68%,26%,94%,1%
P.S. 77 LOWER LAB SCHOOL,40.785014,-73.950031,"1700 3RD AVE NEW YORK, NY 10128",NEW YORK,10128,27%,0%,5%,6%,59%
THE ANDERSON SCHOOL,40.781081,-73.978085,"100 W 77TH ST NEW YORK, NY 10024",NEW YORK,10024,28%,4%,9%,13%,53%
COLUMBIA SECONDARY SCHOOL,40.81064,-73.955847,"425 W 123RD ST NEW YORK, NY 10027",NEW YORK,10027,12%,21%,44%,65%,20%
CORONA ARTS AND SCIENCES ACADEMY,40.743204,-73.871482,"45-10 94TH ST ELMHURST, NY 11373",ELMHURST,11373,4%,1%,94%,95%,1%
KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,40.601532,-73.763979,"8-21 BAY 25TH ST FAR ROCKAWAY, NY 11691",FAR ROCKAWAY,11691,5%,57%,35%,92%,3%
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,40.71855,-73.805991,"160-20 GOETHALS AVE JAMAICA, NY 11432",JAMAICA,11432,47%,35%,11%,46%,3%
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,40.755048,-73.926963,"34-12 36TH AVE LONG ISLAND CITY, NY 11106",LONG ISLAND CITY,11106,49%,2%,15%,17%,31%
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,40.662087,-73.936458,"790 E NEW YORK AVE BROOKLYN, NY 11203",BROOKLYN,11203,0%,95%,4%,99%,0%
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,40.682396,-73.965924,"510 WAVERLY AVE BROOKLYN, NY 11238",BROOKLYN,11238,1%,88%,11%,99%,0%
ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,40.697892,-73.919072,"1300 GREENE AVE BROOKLYN, NY 11237",BROOKLYN,11237,1%,38%,60%,99%,0%
NEW HOPE ACADEMY CHARTER SCHOOL,40.643727,-73.922256,"475 E 57TH ST-3RD FL BROOKLYN, NY 11203",BROOKLYN,11203,0%,97%,2%,98%,1%
M.S. 243 CENTER SCHOOL,40.785101,-73.973867,"100 W 84TH ST-RM 310 NEW YORK, NY 10024",NEW YORK,10024,8%,15%,12%,27%,61%
SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 2,40.697704,-73.943342,"211 THROOP AVE-3RD FL BROOKLYN, NY 11206",BROOKLYN,11206,1%,70%,25%,95%,1%
SUCCESS ACADEMY CHARTER SCHOOL - COBBLE HILL,40.685159,-73.993634,"284 BALTIC ST-BSMT BROOKLYN, NY 11201",BROOKLYN,11201,5%,33%,30%,63%,29%
SUCCESS ACADEMY CHARTER SCHOOL - WILLIAMSBURG,40.711863,-73.960049,"183 S 3RD ST-4TH FL BROOKLYN, NY 11211",BROOKLYN,11211,3%,32%,54%,85%,9%
COMMUNITY ROOTS CHARTER SCHOOL,40.695143,-73.977889,"51 ST EDWARDS ST-3RD FL BROOKLYN, NY 11205",BROOKLYN,11205,4%,33%,16%,48%,39%
EXCELLENCE BOYS CHARTER SCHOOL,40.683447,-73.925849,"225 PATCHEN AVE BROOKLYN, NY 11233",BROOKLYN,11233,2%,88%,8%,96%,1%
LA CIMA CHARTER SCHOOL,40.687938,-73.932378,"800 GATES AVE BROOKLYN, NY 11221",BROOKLYN,11221,4%,68%,24%,92%,2%
PAVE ACADEMY CHARTER SCHOOL,40.675877,-74.003636,"732 HENRY ST BROOKLYN, NY 11231",BROOKLYN,11231,2%,42%,52%,94%,3%
BEGINNING WITH CHILDREN CHARTER SCHOOL,40.699216,-73.945215,"185 ELLERY ST BROOKLYN, NY 11206",BROOKLYN,11206,2%,38%,57%,95%,2%
OCEAN HILL COLLEGIATE CHARTER SCHOOL,40.678113,-73.915211,"1137 HERKIMER ST-2ND FL BROOKLYN, NY 11233",BROOKLYN,11233,1%,88%,6%,94%,1%
GROWING UP GREEN CHARTER SCHOOL,40.753116,-73.935701,"39-27 28TH ST LONG ISLAND CITY, NY 11101",LONG ISLAND CITY,11101,15%,12%,36%,48%,32%
BRONX COMMUNITY CHARTER SCHOOL,40.872656,-73.874846,"3170 WEBSTER AVE BRONX, NY 10467",BRONX,10467,3%,27%,64%,91%,4%
